INFO 2024-11-07 18:41:10,993 views 70028 6171455488 Received request to send OTP email.
DEBUG 2024-11-07 18:41:11,001 views 70028 6171455488 Validated email: eyalwork0@gmail.com
INFO 2024-11-07 18:41:11,004 views 70028 6171455488 Found existing user for email: eyalwork0@gmail.com
INFO 2024-11-07 18:41:11,010 utils 70028 6171455488 OTP entry saved for user: eyalwork0@gmail.com
INFO 2024-11-07 18:41:11,039 utils 70028 6171455488 Attempting to send email via SMTP server: eyalwork0@gmail.com with SSL
INFO 2024-11-07 18:41:14,673 utils 70028 6171455488 Sent OTP to eyalwork0@gmail.com.
INFO 2024-11-07 18:41:14,679 views 70028 6171455488 OTP generated and sent to email: eyalwork0@gmail.com
INFO 2024-11-07 18:41:32,213 views 70028 6171455488 Received request to verify OTP.
DEBUG 2024-11-07 18:41:32,214 views 70028 6171455488 Validated data - Email: eyalwork0@gmail.com, OTP Code: 694597
INFO 2024-11-07 18:41:32,219 views 70028 6171455488 Found user for OTP verification: eyalwork0@gmail.com
DEBUG 2024-11-07 18:41:32,222 utils 70028 6171455488 Retrieved OTP entry: OTP for eyalwork0@gmail.com for user: eyalwork0@gmail.com
INFO 2024-11-07 18:41:32,225 utils 70028 6171455488 OTP verified successfully for user: eyalwork0@gmail.com
INFO 2024-11-07 18:41:32,225 views 70028 6171455488 OTP verified successfully for user: eyalwork0@gmail.com
DEBUG 2024-11-07 18:41:32,228 views 70028 6171455488 Generated JWT tokens for user: eyalwork0@gmail.com
